Name,Ash,Calcium,Calories,Carbohydrate,Copper,Fat,Iron,Magnesium,Potassium,Protein,Saturated_fatty_acids,Sodium,Vitamin_A_RAE,Vitamin_B6,Water,Zinc,Fatty_acids_total_trans,Manganese,Vitamin_D,Glycemic_Load,Completeness_Score,Amino_Acid_Score,Category,Sub_Category,cluster,Cohort
cheese food american cold pack,1.26,140.9,94.0,2.36,0.01,6.934,0.24,8.51,102.91,5.57,4.353,273.86,,0.04,12.22,0.85,,0.003,,9.0,36.0,120.0,Branded Foods,Other_Condiments,5,Unhealthy & Over-indulgent
taro with salt cooked tahitian,2.53,204.13,60.0,9.38,0.1,0.932,2.14,69.87,853.51,5.7,0.19,397.3,120.56,0.16,118.45,0.14,0.0,0.23,0.0,6.0,69.0,,Branded Foods,,2,Frozen & Preserved
cranberry juice cocktail frozen concentrate,0.04,3.98,73.0,18.62,0.01,0.0,0.11,1.81,17.74,0.02,0.0,1.45,0.72,0.018,17.52,0.03,0.0,0.051,,10.0,14.0,,Branded Foods,Crusts_AND_Dough,1,Whole Nutrient
pumpkin leaves with salt drained boiled cooked,0.82,30.53,15.0,2.41,0.09,0.156,2.27,26.98,310.98,1.93,0.081,173.24,56.8,0.139,65.68,0.14,0.0,0.252,0.0,0.0,88.0,90.0,Branded Foods,,2,Frozen & Preserved
squash unprepared frozen crookneck and straightneck summer,0.75,23.4,26.0,6.24,0.11,0.182,0.62,29.9,271.7,1.08,0.038,6.5,18.2,0.114,121.76,0.48,0.0,0.211,0.0,2.0,82.0,89.0,Branded Foods,,1,Whole Nutrient
canada goose raw skinless breast meat only,1.2,3.4,113.0,0.0,0.38,3.417,5.02,24.65,285.6,20.66,0.518,42.5,9.35,0.915,60.16,1.43,0.007,0.043,,,,,Branded Foods,Powdered_Drinks,4,Keto & Strength
beverages decaffeinated ready to drink black tea,0.07,26.4,91.0,21.0,0.02,0.0,0.0,4.8,64.8,0.0,0.0,19.2,0.0,0.0,218.93,0.02,,,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
pork raw or unheated breakfast strips cured,2.55,6.8,330.0,0.59,0.05,31.586,0.8,10.2,173.4,9.98,10.973,838.95,0.0,0.178,40.3,1.41,,0.025,,0.0,27.0,127.0,Branded Foods,,5,Unhealthy & Over-indulgent
salad dressing without salt soybean oil mayonnaise,0.01,2.48,99.0,0.37,,10.957,0.07,,4.69,0.15,1.628,4.14,11.59,,2.3,,,,,0.0,2.0,,Branded Foods,,1,Whole Nutrient
bread toasted includes sourdough french or vienna,0.65,13.32,90.0,17.56,0.04,0.607,1.1,8.79,39.69,3.69,0.142,204.12,0.0,0.027,5.84,0.3,,0.162,0.0,11.0,37.0,49.0,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
beverages frozen concentrate citrus fruit juice drink,0.39,8.8,57.0,14.15,0.03,0.035,1.39,7.04,138.34,0.42,0.002,1.06,2.46,0.023,20.2,0.04,0.0,0.09,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
whale subcutaneous fat blubber alaska native bowhead,0.2,,870.0,0.0,,96.5,0.5,,,0.4,,,,,2.9,,,,,0.0,0.0,,Branded Foods,,4,Keto & Strength
babyfood finger snacks cereal fortified baked product,0.06,6.8,7.2,1.3,0.0,0.168,0.38,0.46,1.94,0.11,0.028,0.0,0.0,0.001,0.06,0.07,,,0.0,,,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
sweet rolls refrigerated dough with frosting cinnamon,0.68,8.79,94.0,14.63,0.02,3.459,0.69,3.12,16.44,1.42,0.873,216.88,0.0,0.009,8.19,0.09,,0.118,,10.0,22.0,50.0,Branded Foods,,5,Unhealthy & Over-indulgent
beverages prepared with water powder lemonadeflavor drink,0.04,1.27,8.6,2.19,0.0,0.022,0.0,4.13,0.95,0.0,0.0,4.13,0.0,0.0,29.53,0.0,0.0,0.0,0.0,,,,Foundation Foods,Tomatoes,3,Packaged
kale with salt drained boiled cooked frozen,1.01,51.1,54.0,11.29,0.12,0.993,0.77,16.06,280.32,0.85,0.193,430.7,1235.16,0.123,131.87,0.51,0.0,0.244,0.0,4.0,87.0,92.0,Branded Foods,Powdered_Drinks,2,Frozen & Preserved
carrots with salt drained boiled cooked frozen,1.01,51.1,54.0,11.29,0.12,0.993,0.77,16.06,280.32,0.85,0.193,430.7,1235.16,0.123,131.87,0.51,0.0,0.244,0.0,2.0,76.0,172.0,Branded Foods,Powdered_Drinks,2,Frozen & Preserved
beans unprepared all styles frozen yellow snap,0.64,50.82,40.0,9.17,0.06,0.254,1.04,26.62,225.06,2.18,0.057,3.63,8.47,0.051,108.75,0.31,0.0,0.466,0.0,4.0,78.0,89.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
cookies regular sugar wafers with creme filling,0.22,9.72,181.0,25.43,0.02,8.366,1.34,5.76,42.12,1.38,4.284,37.08,0.0,0.015,0.6,0.15,,0.152,0.0,4.0,9.0,69.0,Branded Foods,Crusts_AND_Dough,1,Whole Nutrient
mushroom raw exposed to ultraviolet light white,0.59,2.1,15.0,2.28,0.22,0.238,0.35,6.3,222.6,2.16,0.035,3.5,,0.073,64.72,0.36,,0.033,18.34,,,,Branded Foods,,1,Whole Nutrient
frozen novelties prepackaged sundae ice cream type,0.56,88.8,141.0,21.93,0.04,4.44,0.18,14.06,156.14,3.18,2.287,70.3,96.94,0.037,43.88,0.4,,0.008,0.07,4.0,26.0,,Branded Foods,,3,Packaged
turkey raw meat only wing retail parts,1.16,4.52,131.0,0.0,0.09,4.17,1.6,24.86,303.97,23.28,0.884,84.75,21.47,0.545,85.45,3.33,0.035,0.007,0.56,,,,Branded Foods,,4,Keto & Strength
turkey raw meat only thigh retail parts,1.16,4.52,131.0,0.0,0.09,4.17,1.6,24.86,303.97,23.28,0.884,84.75,21.47,0.545,85.45,3.33,0.035,0.007,0.56,,,,Branded Foods,,4,Keto & Strength
pickles sweet with cauliflower onion mustard chowchow,5.05,56.35,296.0,65.27,0.23,2.205,3.43,51.45,490.0,3.67,0.365,1291.15,12.25,0.025,168.81,0.56,0.0,0.208,0.0,31.0,32.0,,Branded Foods,,2,Frozen & Preserved
tomato products without salt added puree canned,3.2,45.0,95.0,22.45,0.72,0.525,4.45,57.5,1097.5,4.12,0.072,70.0,65.0,0.315,219.7,0.9,0.0,0.422,0.0,8.0,83.0,46.0,Branded Foods,,3,Packaged
turkey simmered cooked meat only neck whole,0.95,49.3,138.0,0.0,0.13,6.256,1.0,15.3,96.9,19.11,1.884,209.1,0.0,0.319,59.05,3.43,,0.045,0.26,,,,Branded Foods,,5,Unhealthy & Over-indulgent
peas with salt drained boiled cooked ediblepodded,1.81,67.2,64.0,10.34,0.12,0.368,3.15,41.6,384.0,5.23,0.07,384.0,83.2,0.23,142.26,0.59,0.0,0.269,0.0,,,,Branded Foods,,2,Frozen & Preserved
potatoes no salt added drained solids canned,0.9,9.0,108.0,24.48,0.1,0.36,2.27,25.2,412.2,2.52,0.092,9.0,0.0,0.342,151.74,0.5,0.0,0.216,0.0,9.0,52.0,,Branded Foods,,1,Whole Nutrient
cookies with creme filling vanilla sandwich glutenfree,0.26,6.16,217.0,32.83,0.02,9.007,0.15,5.72,46.2,1.17,3.083,88.44,,,0.73,0.1,0.025,0.099,,,,,Branded Foods,Crusts_AND_Dough,3,Packaged
sweet potatoes unprepared frozen crosscut french fried,0.93,33.15,178.0,21.69,,9.435,0.37,,207.4,1.45,0.79,181.9,,,51.5,,0.178,,,,,,Branded Foods,,0,Confectionaries
turkey raw skin light and dark whole,0.59,14.69,460.0,0.18,0.06,43.991,0.96,12.43,140.12,14.64,11.786,70.06,96.05,0.188,54.67,1.24,0.629,0.014,1.24,,,,Branded Foods,,1,Whole Nutrient
crackers with cheese filling sandwich standard snacktype,0.57,36.49,68.0,8.76,0.01,2.996,0.34,5.11,60.92,1.32,0.87,138.88,2.41,0.007,0.55,0.09,,0.041,0.0,,,,Branded Foods,Crusts_AND_Dough,5,Unhealthy & Over-indulgent
turkey raw meat only wing retail parts,1.06,6.78,127.0,0.0,0.05,2.814,0.68,21.47,250.86,25.4,0.518,77.97,5.65,0.797,84.81,2.95,0.023,0.006,0.23,,,,Branded Foods,,4,Keto & Strength
turkey raw meat only thigh retail parts,1.06,6.78,127.0,0.0,0.05,2.814,0.68,21.47,250.86,25.4,0.518,77.97,5.65,0.797,84.81,2.95,0.023,0.006,0.23,,,,Branded Foods,,4,Keto & Strength
kale with salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,297.36,172.28,0.074,105.99,0.32,0.0,0.64,0.0,4.0,87.0,92.0,Branded Foods,,2,Frozen & Preserved
carrots with salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,297.36,172.28,0.074,105.99,0.32,0.0,0.64,0.0,2.0,76.0,172.0,Branded Foods,,2,Frozen & Preserved
kale without salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,297.36,172.28,0.074,105.99,0.32,0.0,0.64,0.0,4.0,87.0,92.0,Branded Foods,,2,Frozen & Preserved
ginger root with artificial sweetener canned pickled,0.61,18.5,5.0,1.21,0.0,0.025,0.07,1.0,9.0,0.08,0.009,226.5,0.0,0.009,23.07,0.01,0.007,0.117,0.0,,,,Branded Foods,,2,Frozen & Preserved
lotus root without salt drained boiled cooked,0.55,15.6,40.0,9.61,0.13,0.042,0.54,13.2,217.8,0.95,0.013,27.0,0.0,0.131,48.85,0.2,0.0,0.132,0.0,3.0,55.0,48.0,Branded Foods,,3,Packaged
carrabbas italian grill spaghetti with pomodoro sauce,4.69,83.13,509.0,91.1,0.35,8.557,3.62,68.46,699.27,16.72,1.76,1066.02,44.01,0.421,367.97,1.61,0.044,1.007,,,,,Branded Foods,Powdered_Drinks,5,Unhealthy & Over-indulgent
fish kippered alaska native sockeye red salmon,2.25,54.0,141.0,0.0,0.15,4.75,0.49,31.0,400.0,24.5,0.8,460.0,15.0,0.287,69.41,0.75,,0.037,2.0,0.0,45.0,,Branded Foods,,5,Unhealthy & Over-indulgent
cauliflower with salt drained boiled cooked frozen,1.82,30.6,31.0,5.69,0.04,0.396,0.74,16.2,250.2,2.9,0.061,457.2,0.0,0.158,169.2,0.23,0.0,0.27,0.0,1.0,76.0,104.0,Branded Foods,Powdered_Drinks,2,Frozen & Preserved
bread commercially prepared plain chapati or roti,1.32,63.24,202.0,31.52,0.17,5.066,2.05,42.16,180.88,7.65,1.328,278.12,,0.184,22.44,1.07,0.023,0.851,,,,,Foundation Foods,Tomatoes,0,Confectionaries
doritos cool ranch 8z by frito lay,,19.88,150.0,18.0,,8.0,0.0,15.96,,2.0,1.0,180.04,,0.08,,,0.0,,,,,,Branded Foods,Honey,0,Confectionaries
tortillas shelf stable flour readytobake or fry,1.33,79.87,146.0,24.14,0.06,3.714,1.63,10.29,65.17,3.92,0.6,363.58,0.0,0.014,15.89,0.28,0.007,0.253,0.0,,,,Branded Foods,,5,Unhealthy & Over-indulgent
beverages reduced calorie with whitener instant coffee,0.05,0.31,8.7,1.02,0.0,0.495,0.0,0.03,15.45,0.03,0.427,0.0,0.02,0.0,0.1,0.0,,0.0,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
carrabbas italian grill spaghetti with meat sauce,6.34,80.55,655.0,84.36,0.47,21.05,4.78,80.55,1004.19,31.52,5.907,1449.9,75.18,0.65,393.73,3.76,0.365,1.004,,,,,Branded Foods,Powdered_Drinks,5,Unhealthy & Over-indulgent
cookies regular with creme filling chocolate sandwich,0.55,7.56,167.0,25.56,0.12,6.89,4.37,16.92,84.24,1.88,2.034,139.68,0.36,0.008,1.12,0.27,0.04,0.252,0.0,5.0,24.0,17.0,Branded Foods,Crusts_AND_Dough,0,Confectionaries
pork unheated boneless separable fat ham cured,1.68,3.4,438.0,1.59,0.08,45.05,0.42,9.35,147.9,6.38,14.818,523.6,11.05,0.159,30.3,0.97,0.35,0.019,1.02,0.0,9.0,103.0,Branded Foods,,0,Confectionaries
oscar mayer ham chopped with natural juice,1.02,2.52,50.0,1.02,0.07,3.122,0.36,6.44,72.8,4.56,1.136,349.72,0.0,,18.27,0.63,,,,1.0,22.0,,Branded Foods,,2,Frozen & Preserved
ice creams no sugar added light vanilla,0.82,92.48,115.0,14.57,0.02,5.066,0.13,6.12,133.28,2.7,2.753,65.28,58.48,0.02,44.55,0.21,,0.004,0.07,4.0,27.0,,Branded Foods,,3,Packaged
okra without salt drained boiled cooked frozen,1.1,32.4,32.0,3.46,0.19,0.756,1.01,18.0,309.6,5.31,0.173,5.4,72.0,0.036,169.38,0.74,0.0,0.252,0.0,6.0,90.0,79.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
asparagus without salt drained boiled cooked frozen,1.1,32.4,32.0,3.46,0.19,0.756,1.01,18.0,309.6,5.31,0.173,5.4,72.0,0.036,169.38,0.74,0.0,0.252,0.0,1.0,91.0,79.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
fritos regular 75 ounce by frito lay,,19.93,120.0,12.0,,8.001,0.0,8.06,,1.0,1.001,119.99,,,,,0.0,,,,,,Branded Foods,,0,Confectionaries
peas and onions solids and liquids canned,1.64,20.4,61.0,10.28,0.12,0.456,1.04,19.2,115.2,3.94,0.082,530.4,9.6,0.23,103.68,0.7,0.0,0.306,0.0,5.0,72.0,85.0,Branded Foods,,2,Frozen & Preserved
babyfood prepared with whole milk rice cereal,0.31,62.37,33.0,4.34,0.03,1.162,3.44,9.92,57.83,1.42,0.64,13.04,6.24,0.017,21.12,0.26,,,,2.0,47.0,135.0,Standard Reference Foods,Baked_Products,3,Packaged
babyfood prepared with whole milk oatmeal cereal,0.31,62.37,33.0,4.34,0.03,1.162,3.44,9.92,57.83,1.42,0.64,13.04,6.24,0.017,21.12,0.26,,,,2.0,53.0,122.0,Standard Reference Foods,Baked_Products,3,Packaged
kale with salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,4.0,87.0,92.0,Branded Foods,,3,Packaged
kale without salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,4.0,87.0,92.0,Branded Foods,,3,Packaged
okra without salt drained boiled cooked frozen,0.86,177.0,42.0,6.25,0.08,1.428,0.99,29.5,169.92,3.47,0.186,18.88,172.28,0.074,105.99,0.32,0.0,0.64,0.0,6.0,90.0,79.0,Branded Foods,,3,Packaged
chicken raw meat only light meat stewing,0.98,9.79,122.0,0.0,0.06,3.747,0.82,23.14,232.29,20.56,0.863,47.17,18.69,0.507,65.18,0.53,,0.016,,0.0,39.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
amaranth leaves with salt drained boiled cooked,2.79,275.88,28.0,5.43,0.21,0.238,2.98,72.6,846.12,2.79,0.066,339.24,183.48,0.234,120.77,1.16,0.0,1.137,0.0,4.0,76.0,101.0,,,2,Frozen & Preserved
287oz fritos chili cheese by frito lay,,0.0,160.0,15.0,,9.999,0.0,,,2.0,1.501,269.92,,,,,0.0,,,,,,,,5,Unhealthy & Over-indulgent
beverages canned pineapple and grapefruit juice drink,0.06,2.19,15.0,3.63,0.01,0.031,0.1,1.88,19.09,0.06,0.002,4.38,0.0,0.013,27.51,0.02,0.0,0.129,0.0,,,,Foundation Foods,Tomatoes,3,Packaged
caribou raw alaska native hind quarter meat,1.23,5.0,122.0,0.0,0.27,3.37,4.1,26.0,320.0,22.63,1.27,52.0,94.0,0.351,72.6,2.1,,0.037,,0.0,57.0,,Branded Foods,Powdered_Drinks,4,Keto & Strength
alcoholic beverage late harvest white table wine,0.08,,35.0,4.12,,0.0,,,,0.02,,,,,23.95,,0.0,,,1.0,0.0,,,,2,Frozen & Preserved
chicken meat only wing bbq rotisserie broiler,0.83,27.2,158.0,0.46,0.06,6.622,0.82,20.4,273.7,24.09,1.814,616.25,9.35,0.156,53.44,1.74,,,0.0,,,,Branded Foods,Canned_Tuna,2,Frozen & Preserved
sausage reduced sodium and beef turkey pork,2.1,20.4,241.0,0.09,0.06,22.771,1.36,14.45,204.0,9.1,9.107,577.15,5.1,0.245,51.07,3.36,0.61,0.011,0.09,,,,Branded Foods,,5,Unhealthy & Over-indulgent
egg glucose reduced stabilized flakes dried white,1.2,23.53,100.0,1.18,0.07,0.011,0.07,18.99,295.41,21.81,0.0,327.73,0.0,0.007,4.14,0.04,,0.02,0.0,,,,Branded Foods,Honey,5,Unhealthy & Over-indulgent
yogurt chobani strawberry banana 2 fat greek,0.64,88.0,88.0,10.24,,1.71,0.2,,,8.0,1.03,32.0,15.0,,79.5,,0.07,,,,,,Branded Foods,,4,Keto & Strength
margarinelike with salt tub vegetable oilbutter spread,0.28,3.36,51.0,0.14,0.0,5.6,0.01,0.28,5.04,0.14,1.013,110.04,114.66,0.001,7.84,0.0,,,0.0,,,,Branded Foods,,5,Unhealthy & Over-indulgent
babyfood prepared with whole milk rice cereal,0.25,47.63,24.0,2.92,0.01,0.958,1.03,7.09,42.81,0.98,0.508,11.91,11.91,0.02,23.24,0.14,,0.001,0.34,2.0,47.0,135.0,Standard Reference Foods,Baked_Products,3,Packaged
babyfood prepared with whole milk oatmeal cereal,0.25,47.63,24.0,2.92,0.01,0.958,1.03,7.09,42.81,0.98,0.508,11.91,11.91,0.02,23.24,0.14,,0.001,0.34,2.0,53.0,122.0,Standard Reference Foods,Baked_Products,3,Packaged
mushrooms grilled exposed to ultraviolet light portabella,1.27,3.63,35.0,5.37,0.47,0.702,0.48,15.73,528.77,3.97,0.034,13.31,,0.148,109.7,0.79,0.0,0.081,15.85,,,,Branded Foods,,3,Packaged
beverages prepared with tap water brewed coffee,0.1,0.59,0.3,0.0,0.0,0.006,0.0,0.89,14.5,0.04,0.001,0.59,0.0,0.0,29.42,0.01,0.0,0.007,0.0,,,,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
chicken back meat only bbq rotisserie broiler,1.19,28.05,180.0,0.26,0.06,11.79,0.7,15.3,223.55,18.57,3.071,478.55,12.75,0.103,53.52,1.48,,,0.0,,,,Branded Foods,Canned_Tuna,5,Unhealthy & Over-indulgent
drumstick pods without salt drained boiled cooked,1.32,23.6,42.0,9.65,0.09,0.224,0.53,49.56,539.26,2.47,0.037,50.74,4.72,0.132,104.34,0.5,0.0,0.284,0.0,,,,Branded Foods,Honey,0,Confectionaries
salad dressing low calorie mayonnaise and mayonnaisetype,0.29,2.03,38.0,3.47,0.0,2.755,0.04,0.29,3.48,0.13,0.429,121.36,3.04,0.003,7.87,0.03,,,0.0,,,,Branded Foods,,5,Unhealthy & Over-indulgent
chrysanthemum without salt drained boiled cooked garland,1.47,69.0,20.0,4.31,0.13,0.09,3.74,18.0,569.0,1.64,0.022,53.0,129.0,0.118,92.49,0.2,0.0,0.355,0.0,2.0,87.0,,Branded Foods,Crusts_AND_Dough,5,Unhealthy & Over-indulgent
kale without salt drained boiled cooked frozen,0.54,68.08,27.0,5.9,0.07,0.221,0.48,36.8,169.28,1.5,0.058,2.76,13.8,0.034,83.83,0.45,0.0,0.776,0.0,4.0,87.0,92.0,Branded Foods,,1,Whole Nutrient
okra without salt drained boiled cooked frozen,0.54,68.08,27.0,5.9,0.07,0.221,0.48,36.8,169.28,1.5,0.058,2.76,13.8,0.034,83.83,0.45,0.0,0.776,0.0,6.0,90.0,79.0,Branded Foods,,1,Whole Nutrient
asparagus without salt drained boiled cooked frozen,0.54,68.08,27.0,5.9,0.07,0.221,0.48,36.8,169.28,1.5,0.058,2.76,13.8,0.034,83.83,0.45,0.0,0.776,0.0,1.0,91.0,79.0,Branded Foods,,1,Whole Nutrient
tgi fridays classic sirloin steak 10 oz,2.53,12.32,345.0,0.83,0.2,13.781,5.05,49.28,667.04,54.6,4.314,408.32,19.36,1.301,104.26,9.75,0.493,0.046,,,,,Branded Foods,,0,Confectionaries
biscuits prepared dry mix plain or buttermilk,0.94,52.45,95.0,13.72,0.03,3.43,0.58,7.09,53.3,2.07,0.791,270.74,7.37,0.019,8.19,0.17,,0.071,,8.0,27.0,72.0,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
chicken stewed cooked meat and skin stewing,1.0,11.05,242.0,0.0,0.09,16.04,1.16,17.0,154.7,22.85,4.344,62.05,33.15,0.212,45.11,1.5,,0.018,,0.0,27.0,130.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chayote with salt drained boiled cooked fruit,1.55,20.8,35.0,7.2,0.18,0.768,0.35,19.2,276.8,0.99,0.05,379.2,0.0,0.189,149.49,0.5,0.0,0.27,0.0,1.0,70.0,0.0,Branded Foods,Other_Condiments,2,Frozen & Preserved
protein supplement powder muscle milk milk based,0.4,55.0,45.0,2.04,0.11,1.885,0.94,22.0,124.19,5.03,0.171,36.19,82.5,0.11,1.65,0.79,,,0.55,,,,Branded Foods,,0,Confectionaries
cake nobake type prepared from mix cheesecake,0.57,48.76,78.0,10.06,0.01,3.6,0.13,5.39,59.82,1.56,1.897,107.73,27.22,0.015,12.53,0.13,,0.034,,,,,Branded Foods,Powdered_Drinks,0,Confectionaries
crackers sandwichtype with peanut butter filling cheese,0.35,7.1,70.0,8.06,0.04,3.567,0.39,7.95,30.96,1.76,0.626,117.72,0.14,0.021,0.47,0.15,,0.117,0.0,,,,Branded Foods,Crusts_AND_Dough,5,Unhealthy & Over-indulgent
babyfood toddler and vegetables rice turkey dinner,0.23,3.12,17.0,2.13,0.03,0.454,0.11,3.97,30.33,1.08,0.142,49.9,32.04,0.037,24.47,0.17,,0.065,0.0,7.0,59.0,,Standard Reference Foods,Baked_Products,5,Unhealthy & Over-indulgent
beverages prepared with water decaffeinated instant coffee,0.06,1.2,0.6,0.13,0.0,0.0,0.01,1.2,10.76,0.04,0.0,1.2,0.0,0.0,29.58,0.0,0.0,0.004,,,,,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
milk with blend of hydrogenated vegetable oils fluid filled,1.95,312.32,154.0,11.57,0.02,8.442,0.12,31.72,339.16,8.13,1.874,139.08,4.88,0.098,213.91,0.88,,0.005,,8.0,38.0,138.0,Branded Foods,,0,Confectionaries
babyfood junior without ascorbic acid prunes with tapioca fruit,0.22,4.25,20.0,5.3,0.02,0.028,0.09,2.83,45.93,0.17,0.002,0.57,2.83,0.024,22.71,0.03,,,,9.0,35.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
chicken roasted cooked meat only thigh broilers or fryers,0.88,7.65,152.0,0.0,0.06,6.928,0.96,20.4,228.65,21.05,1.964,90.1,6.8,0.393,56.95,1.63,0.037,0.014,0.17,0.0,34.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chicken roasted cooked meat only back broilers or fryers,0.88,7.65,152.0,0.0,0.06,6.928,0.96,20.4,228.65,21.05,1.964,90.1,6.8,0.393,56.95,1.63,0.037,0.014,0.17,0.0,32.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chicken roasted cooked meat only wing broilers or fryers,0.88,7.65,152.0,0.0,0.06,6.928,0.96,20.4,228.65,21.05,1.964,90.1,6.8,0.393,56.95,1.63,0.037,0.014,0.17,0.0,32.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chicken roasted cooked meat only leg broilers or fryers,0.88,7.65,152.0,0.0,0.06,6.928,0.96,20.4,228.65,21.05,1.964,90.1,6.8,0.393,56.95,1.63,0.037,0.014,0.17,0.0,36.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
turkey roasted cooked meat and skin light meat whole,1.04,9.35,150.0,0.04,0.06,4.735,0.68,27.2,210.8,25.12,1.363,85.85,8.5,0.652,55.07,1.5,0.064,0.01,0.34,,,,Branded Foods,,4,Keto & Strength
shortening pourable liquid fry shortening soy partially hydrogenated industrial,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,2.497,0.0,0.0,0.0,0.0,0.0,1.71,,,0.0,2.0,0.0,Branded Foods,,1,Whole Nutrient
turkey raw with added solution meat and skin whole,1.37,15.82,180.0,0.17,0.08,10.283,0.76,23.73,238.43,21.5,1.921,203.4,25.99,0.61,80.52,1.9,0.184,0.009,0.45,,,,Branded Foods,,0,Confectionaries
lima beans without salt drained boiled cooked immature seeds,3.5,54.4,209.0,40.19,0.52,0.544,4.17,125.8,969.0,11.58,0.124,28.9,25.5,0.328,114.19,1.34,0.0,2.128,0.0,16.0,68.0,89.0,Branded Foods,,1,Whole Nutrient
beverages zero calories pomegranate with antioxidants yumberry bottled water,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,24.0,0.0,0.199,237.0,0.0,0.0,,0.0,,,,Foundation Foods,Tomatoes,5,Unhealthy & Over-indulgent
babyfood strained without ascorbic acid plums with tapioca fruit,0.04,0.9,11.0,2.96,0.01,0.0,0.03,0.6,12.75,0.01,0.0,0.0,1.05,0.004,12.0,0.01,,,0.0,1.0,21.0,,Standard Reference Foods,Baked_Products,1,Whole Nutrient
pork raw mechanically separated variety meats and byproducts fresh,0.44,89.3,86.0,0.0,0.02,7.524,1.2,4.54,84.48,4.26,2.784,14.18,0.85,0.105,16.12,0.69,,0.003,,,,,Branded Foods,,1,Whole Nutrient
orville redenbachers butter popcorn 2322 oz by conagra brands,,0.0,170.0,17.0,,12.001,0.72,,210.0,2.0,5.999,260.05,,,,,0.0,,,,,,Branded Foods,,5,Unhealthy & Over-indulgent
andy capp hot fries 15 oz by conagra brands,,0.0,140.0,19.0,,6.0,0.0,,0.0,2.0,2.5,290.08,,,,,0.0,,,,,,,,5,Unhealthy & Over-indulgent
andy capp bbq fries 3 oz by conagra brands,,0.0,140.0,19.0,,6.0,0.0,,0.0,2.0,2.5,290.08,,,,,0.0,,,,,,,,5,Unhealthy & Over-indulgent
andy capp hot fries 3 oz by conagra brands,,0.0,140.0,19.0,,6.0,0.0,,0.0,2.0,2.5,290.08,,,,,0.0,,,,,,,,5,Unhealthy & Over-indulgent
pork braised cooked kidneys variety meats and byproducts fresh,1.45,10.15,215.0,0.58,0.74,7.322,8.45,34.8,298.7,34.22,1.943,50.75,10.15,0.566,98.72,4.48,,0.106,,,,,Branded Foods,,4,Keto & Strength
pork braised cooked heart variety meats and byproducts fresh,1.45,10.15,215.0,0.58,0.74,7.322,8.45,34.8,298.7,34.22,1.943,50.75,10.15,0.566,98.72,4.48,,0.106,,,,,Branded Foods,,4,Keto & Strength
pork roasted extra lean and regular boneless ham cured,5.75,11.2,231.0,0.7,0.17,10.724,1.96,26.6,506.8,30.76,3.654,1939.0,0.0,0.49,92.05,3.68,,0.064,1.12,1.0,41.0,125.0,Branded Foods,,2,Frozen & Preserved
chicken roasted cooked meat only thigh broilers or fryers,0.88,10.2,148.0,0.0,0.05,6.63,0.92,20.4,228.65,20.59,1.792,84.15,5.95,0.361,57.54,1.79,0.028,0.016,0.09,0.0,34.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chicken roasted cooked meat only back broilers or fryers,0.88,10.2,148.0,0.0,0.05,6.63,0.92,20.4,228.65,20.59,1.792,84.15,5.95,0.361,57.54,1.79,0.028,0.016,0.09,0.0,32.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
chicken roasted cooked meat only wing broilers or fryers,0.88,10.2,148.0,0.0,0.05,6.63,0.92,20.4,228.65,20.59,1.792,84.15,5.95,0.361,57.54,1.79,0.028,0.016,0.09,0.0,32.0,136.0,Branded Foods,Canned_Tuna,4,Keto & Strength
